cs_year,date_occur,address_norm,gw_addrrecnum,gw_x,gw_y,gw_source
2009,02/23/2009 20:00,5146 Terry Ave,NA,NA,NA,NA
2009,02/25/2009 20:20,4112 Page Blvd,10029436,-90.23920709503408,38.65068919122468,local
2009,02/25/2009 20:20,4112 Page Blvd,10029436,-90.23920709503408,38.65068919122468,local
2009,02/26/2009 00:13,1629 Semple Ave,10137271,-90.27108012457451,38.66960810812517,local
2009,02/27/2009 06:57,4518 Minnesota Ave,10125666,-90.23834460945143,38.574069619997275,local
2009,03/03/2009 16:20,8455 Edna St,10289883,-90.23615404338967,38.71529488578641,local
2009,03/08/2009 22:45,1717 Cochran Pl,10322393,-90.20021595127277,38.64166248798397,local
2009,03/10/2009 01:00,5014 Maple Ave,NA,NA,NA,NA
2009,03/12/2009 20:00,3135 Oregon Ave,10151393,-90.23027518818658,38.59923687130539,local
2009,03/17/2009 20:57,3642 Hebert St,10102397,-90.21962116588779,38.65957265376843,local
2009,03/20/2009 20:00,4435 Tennessee Ave,10215117,-90.24577563035892,38.57724286650571,local
2009,03/20/2009 23:00,3018 N Vandeventer Ave,10100435,-90.2252943339492,38.659454991320615,local
2009,03/25/2009 19:00,5328 Lotus Ave,10140720,-90.2663701880833,38.66938804571244,local
2009,03/26/2009 14:18,5441 Page Blvd,NA,NA,NA,NA
2009,03/29/2009 17:39,6104 Page Blvd,10030286,-90.28965806625305,38.66966313185285,local
2009,04/04/2009 00:10,4102 W Florissant Ave,10088794,-90.21962521807946,38.67405964158936,local
2009,04/04/2009 23:00,4933 Plover Ave,10241386,-90.2557297744504,38.69594896538552,local
2009,04/07/2009 03:50,2735 University St,NA,NA,NA,NA
2009,04/08/2009 14:24,5212 Highland Ave,10157939,-90.26220867071554,38.66968128824635,local
2009,04/08/2009 17:57,4861 Northland Ave,10190816,-90.25338626899662,38.6679478013494,local
2009,04/13/2009 21:04,1435 Amherst Ter,10276007,-90.28487455437948,38.672565929144355,local
2009,04/24/2009 01:45,2212 Benton St,10120916,-90.20938134760002,38.648263143351976,local
2009,04/27/2009 22:40,4611 Natural Bridge Ave,10027688,-90.24150669832561,38.67226298538303,local
2009,05/01/2009 01:00,2539 E Dodier St,10166476,-90.20964501815142,38.65478052373413,local
2009,05/03/2009 00:45,750 E Davis St,NA,NA,NA,NA
2009,05/04/2009 00:22,3000 N Broadway,10042072,-90.19143632208952,38.655407046215224,local
2009,05/04/2009 19:44,4907 Fountain Ave,10196802,-90.25999794991777,38.656053082732846,local
2009,05/08/2009 02:20,1820 Market St,10099118,-90.20857359654909,38.62730964437386,local
2009,05/08/2009 02:20,1820 Market St,10099118,-90.20857359654909,38.62730964437386,local
2009,05/08/2009 02:20,1820 Market St,10099118,-90.20857359654909,38.62730964437386,local
2009,05/08/2009 18:57,7427 S Broadway,10054435,-90.25715749167308,38.5483895390129,local
2009,05/08/2009 20:21,1206 N Kingshighway Blvd,10035105,-90.26186721727474,38.65797535578322,local
2009,05/17/2009 16:40,3304 S Compton Ave,10099671,-90.23610926712874,38.5962025662979,local
2009,05/17/2009 18:13,4002 Pennsylvania Ave,10144710,-90.23532636983296,38.58331653888292,local
2009,05/18/2009 20:50,1136 Walton Ave,NA,NA,NA,NA
2009,05/19/2009 17:50,4261 W Aldine Ave,10334965,-90.24159891886804,38.65631979684198,local
2009,05/22/2009 01:50,3336 Arlington Ave,10101574,-90.26195807864681,38.67856196725825,local
2009,05/22/2009 17:00,2200 Alberta St,10269979,-90.22533159081368,38.58288114883144,local
2009,05/23/2009 19:58,4141 Saint Louis Ave,NA,NA,NA,NA
2009,05/25/2009 23:00,7320 Vermont Ave,10259338,-90.26013034470547,38.55229248243366,local
2009,05/26/2009 19:43,4730 Newberry Ter,10237238,-90.25584474551883,38.65567341092846,local
2009,06/01/2009 21:05,2725 Marcus Ave,NA,NA,NA,NA
2009,06/01/2009 21:20,5507 Labadie Ave,10079362,-90.26663418996493,38.67812224494873,local
2009,06/01/2009 23:42,2000 Market St,10099176,-90.2095455188897,38.62961665706514,local
2009,06/01/2009 23:42,2000 Market St,10099176,-90.2095455188897,38.62961665706514,local
2009,06/02/2009 02:00,4719 20th,NA,NA,NA,NA
